filename	author	author_birth_year	author_death_year	realname	title	source_title	colophon	first_book_publication	edition_year	firstprint_description	year
leskov._kolyvanskiy_muzh.txt	Лесков, Николай Семёнович	1831	1895		Колыванский муж	Собрание сочинений. Под общ. ред. В.Г. Базанова [и др.. Лесков. 1831-1895, [Захудалый род. Семейная хроника князей Протозановых. (Из записок княжны В.Д.П.). Павлин. Детские годы. (Из воспоминаний Меркула Праотцева). На краю света. Подготовка текста и примеч. Л.В. Домановского]	М.: Гослитиздат., [Ленингр. отд-ние], 1956	1888	1957	Книжки «Недели». 1888. № 12, 	1888
leskov.askalonskiy_zlodey.txt	Лесков, Николай Семёнович	1831	1895		Аскалонский злодей	Собрание сочинений. Н.С. Лесков. Лесков. 1831-1895, Т. 10. [Примеч. А. Шелаевой. Иллюстрации С.Н. Ерошкина]	М.: Правда, 1989	1889	1989	Русская мысль. 1889. № 11, 	1889
leskov.chortovy_kukly.txt	Лесков, Николай Семёнович	1831	1895		Чёртовы куклы	Собрание сочинений. Н.С. Лесков. Лесков. 1831-1895, Т. 10. [Примеч. А. Шелаевой. Иллюстрации С.Н. Ерошкина]	М.: Правда, 1989	1890	1989	Русская мысль. 1890. № 1, 	1890
leskov.detskiye_gody.txt	Лесков, Николай Семёнович	1831	1895		Детские годы	Собрание сочинений. Под общ. ред. В.Г. Базанова [и др.. Лесков. 1831-1895, [Захудалый род. Семейная хроника князей Протозановых. (Из записок княжны В.Д.П.). Павлин. Детские годы. (Из воспоминаний Меркула Праотцева). На краю света. Подготовка текста и примеч. Л.В. Домановского]	М.: Гослитиздат., [Ленингр. отд-ние], 1956	1876	1957	Павлин. (Рассказ). Детские годы. (Из воспоминаний Меркула Праотцева). Соч. Н.С. Лескова, Санкт-Петербург А.Ф. Базунов 1876	1876
leskov.interesnyye_muzhchiny.txt	Лесков, Николай Семёнович	1831	1895		Интересные мужчины	Собрание сочинений. Н.С. Лесков. Лесков. 1831-1895, Т. 7. [Иллюстрации И.С. Глазунова]	М.: Правда, 1989	1886	1989	Рассказы кстати. [Соч.] Н.С. Лескова, Санкт-Петербург Москва т-во М.О. Вольф [1886]	1886
leskov.ledi_makbet_mtsenskogo_uyezda.txt	Лесков, Николай Семёнович	1831	1895		Леди Макбет Мценского уезда	Собрание сочинений. Под общ. ред. В.Г. Базанова [и др.. Лесков. 1831-1895, [Разбойник. Язвительный. Овцебык. Леди Макбет Мценского уезда. Воительница. Котин доилец и Платонида. Житие одной бабы. Расточитель. Подготовка текста и примеч. Б.М. Эйхенбаума]	М.: Гослитиздат., [Ленингр. отд-ние], 1956	1889	1956	Собрание сочинений Н.С. Лескова. Лесков. 1831-1895, Смех и горе. Воительница. Леди Макбет Мценского уезда. Грабеж. Антука. Колыванский муж. Ракушанский меламед. Белый орел. Чертогон. Пламенная патриотка, Санкт-Петербург тип. А.С. Суворина 1889-1896	1889
leskov.na_krayu_sveta.txt	Лесков, Николай Семёнович	1831	1895		На краю света	Собрание сочинений. Н.С. Лесков. Лесков. 1831-1895, Т. 1. [Примеч. Е. Любимовой]. [Сост., общ. ред., вступ. ст., с. 3-44, В.Ю. Троицкого. Иллюстрации И.С. Глазунова]	М.: Правда, 1989	1876	1989	На краю света. (из воспоминаний архиерея). рассказ Н.С. Лескова, Санкт-Петербург Тип. и лит. кн. В. Оболенского 1876	1876
leskov.na_nozhakh.txt	Лесков, Николай Семёнович	1831	1895		На ножах	На ножах. Роман в 6 ч. [Подгот. текста, вступ. ст. и примеч. А.А. Шелаевой]	М.: Русская книга, 1994	1871	1994	На ножах. Роман в 6 ч. [Соч.] Н. Лескова (Стебницкого), Москва Унив. тип. (Катков и К°) 1871	1871
leskov.nekuda.txt	Лесков, Николай Семёнович	1831	1895		Некуда	Собрание сочинений. Н.С. Лесков. Лесков. 1831-1895, [Некуда. Роман. Послесл. В. Троицкого. Примеч. Н. Тотубалина и др.. Иллюстрации С.Н. Ерошкина]	М.: Правда, 1989	1865	1989	Некуда. Роман в 3 кн. М. Стебницкого [псевд. Лескова Н.С.], Санкт-Петербург тип. Э. Арнгольда 1865	1865
leskov.oboydennyye.txt	Лесков, Николай Семёнович	1831	1895		Обойденные	Собрание сочинений. Под общ. ред. В.Г. Базанова [и др.. Лесков. 1831-1895, [Островитяне. Старые годы в селе Плодомасове. Загадочный человек. Смех и горе. Подготовка текста и примеч. И.З. Сермана]	М.: Гослитиздат., [Ленингр. отд-ние], 1956	1866	1957	Обойденные. Роман в 3 ч. И. Стебницкого [псевд. Н.С. Лескова]. (Ч. 1, 2 и 3), Санкт-Петербург тип. А.А. Краевского 1866	1866
